step,lr,train_mse,test_mse
500,0.0002995975932024511,0.0004617876097715149,0.0004206181907405456
1000,0.00029713435043286735,9.481101083414009e-05,9.59377132433777e-05
1500,0.000292465304714884,5.273474666561621e-05,5.516582541167736e-05
2000,0.00028566045326383963,0.0005191373716418942,0.0005245058772464594
2500,0.0002768218127831754,4.05061365745496e-05,3.792182177615662e-05
3000,0.00026608189005444675,3.5163863067282364e-05,3.692419947280238e-05
3500,0.0002536016954273844,0.0002666119827578465,0.00024102127489944298
4000,0.00023956832899128764,0.00011671710817608982,0.00010647827472227315
4500,0.00022419217561528903,1.4332890508133763e-05,1.2988178272886823e-05
5000,0.00020770375090877567,1.3036907269755223e-05,1.3015471573453396e-05
5500,0.0001903502453865736,1.5053449387778529e-05,1.5130545032055428e-05
6000,0.00017239181864794247,0.00026885048331071936,0.00025746267785628637
6500,0.00015409769912616214,6.709035418073957e-06,6.467379445287709e-06
7000,0.0001357421478803313,7.242437190143392e-05,7.262571912724525e-05
7500,0.00011760034693924492,4.173166156154669e-06,4.02719849080313e-06
8000,9.994427383831475e-05,1.3539113594257893e-05,1.3325369354182234e-05
8500,8.303862419748684e-05,1.8164790359757415e-06,1.8759999899581696e-06
9000,6.713684346789227e-05,4.887792650454988e-06,4.299181916091281e-06
9500,5.247732733833493e-05,1.7783600317973955e-06,1.7386349597169707e-06
10000,3.9279847764211724e-05,1.4662202056570095e-06,1.5740521970049789e-06
10500,2.774225819898471e-05,1.1795945147241582e-06,1.1669655135240948e-06
11000,1.8037527422585546e-05,1.32290798167863e-06,1.3058525728411041e-06
11500,1.0311146434886269e-05,8.256926904929666e-07,9.355445763503667e-07
12000,4.678947289469104e-06,8.532933596446431e-07,9.094650298114478e-07
12500,1.2253665672166625e-06,1.1087788076717212e-06,8.343963830460173e-07
13000,2.1795233108135024e-09,8.602444851627904e-07,8.27207960052571e-07
13021,4.503158212987301e-12,7.240474163457596e-07,8.273435475227112e-07
